correlativo_estudiante,nombre_carrera,fecha_inscripcion,anio_inscripcion,sexo,pais_nacionalidad,tipo_inscripcion
cbaf0904cbfb04e45453bd3f28fac16d,INGENIERIA AMBIENTAL,2023-12-05,2024,F,GUATEMALA,REINGRESO
427e80d4c619ec21ec91123030007ca4,INGENIERIA CIVIL,2023-12-05,2024,F,GUATEMALA,PRIMER INGRESO (TRASLADO)
0e5d9b935ad3a3f1d99635c3e7353248,INGENIERIA CIVIL,2023-12-05,2024,M,GUATEMALA,REINGRESO
234135ef75dc4190c8ee40db9239de41,INGENIERIA CIVIL,2023-12-05,2024,M,GUATEMALA,REINGRESO
40566cab44ad38c151013a51ba8a2f0e,INGENIERIA CIVIL,2023-12-05,2024,M,GUATEMALA,REINGRESO
a725336b4647d07f2c00266fa3f41a2d,INGENIERIA CIVIL,2023-12-05,2024,M,GUATEMALA,REINGRESO
c5c52042a61fedbe3db2ff3bf16d5ffc,INGENIERIA CIVIL,2023-12-05,2024,M,GUATEMALA,REINGRESO
d73df12c52e08720ed6f04c698ab82bb,INGENIERIA CIVIL,2023-12-05,2024,M,GUATEMALA,REINGRESO
05f2bfaae60f13b4c2ad61a47693b742,INGENIERIA ELECTRICA,2023-12-05,2024,M,GUATEMALA,REINGRESO
331003ad411809d65482ca64f7583103,INGENIERIA ELECTRICA,2023-12-05,2024,M,GUATEMALA,REINGRESO
6f62b62e05c2e3227292c6ae31946d72,INGENIERIA ELECTRICA,2023-12-05,2024,M,GUATEMALA,REINGRESO
81b2b94237b71a90eda213e343ba473a,INGENIERIA ELECTRICA,2023-12-05,2024,M,GUATEMALA,REINGRESO
3073ac0c58a560d75dce0e2f72699f7c,INGENIERIA ELECTRONICA,2023-12-05,2024,M,GUATEMALA,REINGRESO
60be7c92746ca99f1428bca3385c64f3,INGENIERIA ELECTRONICA,2023-12-05,2024,M,GUATEMALA,REINGRESO
612440228aa5367d5d4689821857df27,INGENIERIA ELECTRONICA,2023-12-05,2024,M,GUATEMALA,REINGRESO
a13e1b1ebdefb7aaaf97b71a00505405,INGENIERIA ELECTRONICA,2023-12-05,2024,M,GUATEMALA,REINGRESO
35f30c097fce50f7537d84f8946be5ad,INGENIERIA EN CIENCIAS Y SISTEMAS,2023-12-05,2024,F,GUATEMALA,REINGRESO
67dd4e1cad7903350d0cfde20a27727d,INGENIERIA EN CIENCIAS Y SISTEMAS,2023-12-05,2024,F,GUATEMALA,REINGRESO
80ff5f497c5d420d3fa8ba859c6217f3,INGENIERIA EN CIENCIAS Y SISTEMAS,2023-12-05,2024,F,GUATEMALA,REINGRESO
